https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1720569600000,2024-07-10 00:00:00,BAT/USD,0.17684,0.17684,0.17568,0.1765,6.396469456474999,36.24062015
1720483200000,2024-07-09 00:00:00,BAT/USD,0.16944,0.17795,0.1686,0.17795,241.30063287405198,1356.00243256
1720396800000,2024-07-08 00:00:00,BAT/USD,0.16623,0.17432,0.16,0.16951,508.2168254354895,2998.15247145
1720310400000,2024-07-07 00:00:00,BAT/USD,0.17621,0.17676,0.16588,0.16588,2058.0957638986315,12407.13626657
1720224000000,2024-07-06 00:00:00,BAT/USD,0.16842,0.17703,0.16687,0.17647,456.6703011523533,2587.80699922
1720137600000,2024-07-05 00:00:00,BAT/USD,0.16796,0.16903,0.15028,0.16853,3505.9194953074807,20802.94010151
1720051200000,2024-07-04 00:00:00,BAT/USD,0.1854,0.18604,0.16918,0.16918,1379.734509630664,8155.4232748
1719964800000,2024-07-03 00:00:00,BAT/USD,0.19069,0.19069,0.1831,0.18516,967.7931552596291,5226.79388237
1719878400000,2024-07-02 00:00:00,BAT/USD,0.18992,0.19243,0.18882,0.1902,211.487088331302,1111.91949701
1719792000000,2024-07-01 00:00:00,BAT/USD,0.19642,0.19902,0.18948,0.18948,2278.7777225023683,12026.4815416
1719705600000,2024-06-30 00:00:00,BAT/USD,0.18925,0.19794,0.1856,0.19678,4288.791673623633,21794.85554235
1719619200000,2024-06-29 00:00:00,BAT/USD,0.1936,0.19682,0.18844,0.18844,609.1711342522541,3232.7060828500003
1719532800000,2024-06-28 00:00:00,BAT/USD,0.19751,0.1998,0.19346,0.19346,917.8363476342329,4744.32103605
1719446400000,2024-06-27 00:00:00,BAT/USD,0.19165,0.19789,0.1891,0.19789,806.8800469598023,4077.41698398
1719360000000,2024-06-26 00:00:00,BAT/USD,0.19402,0.19547,0.19003,0.19108,190.7705786853796,998.38067137
1719273600000,2024-06-25 00:00:00,BAT/USD,0.18962,0.19718,0.18927,0.19382,920.5344449809046,4749.42959953
1719187200000,2024-06-24 00:00:00,BAT/USD,0.18781,0.19003,0.17864,0.19003,989.4396896203365,5206.75519455
1719100800000,2024-06-23 00:00:00,BAT/USD,0.19015,0.19237,0.18539,0.18617,888.3072122927248,4771.48419344
1719014400000,2024-06-22 00:00:00,BAT/USD,0.18958,0.19113,0.1876,0.18897,259.9321459212303,1375.52069599
