https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1720569600000,2024-07-10 00:00:00,EOS/USD,0.5225,0.5225,0.52013,0.52106,693.5993665823452,1331.13147542
1720483200000,2024-07-09 00:00:00,EOS/USD,0.51108,0.53616,0.51078,0.52321,88774.31689625737,169672.43916641
1720396800000,2024-07-08 00:00:00,EOS/USD,0.49383,0.52136,0.472,0.51282,139638.38440131702,272295.12187769
1720310400000,2024-07-07 00:00:00,EOS/USD,0.51872,0.52389,0.49097,0.49291,60579.01870272445,122900.77032871
1720224000000,2024-07-06 00:00:00,EOS/USD,0.48078,0.52736,0.47962,0.52151,133880.03348000813,256716.13867425
1720137600000,2024-07-05 00:00:00,EOS/USD,0.49795,0.49795,0.44154,0.48097,359666.76654187613,747794.59538407
1720051200000,2024-07-04 00:00:00,EOS/USD,0.56247,0.56327,0.49642,0.50081,167856.16390892683,335169.35346524
1719964800000,2024-07-03 00:00:00,EOS/USD,0.58427,0.58662,0.55418,0.56183,53790.488377108406,95741.57374492
1719878400000,2024-07-02 00:00:00,EOS/USD,0.57817,0.588,0.57593,0.58509,21517.087131201628,36775.68772531
1719792000000,2024-07-01 00:00:00,EOS/USD,0.57702,0.5881,0.57519,0.57837,136977.05262060827,236832.91426009
1719705600000,2024-06-30 00:00:00,EOS/USD,0.56717,0.58126,0.56,0.57903,16016.755927826924,27661.35766338
1719619200000,2024-06-29 00:00:00,EOS/USD,0.58756,0.59337,0.5648,0.56637,51394.63210698607,90743.9167099
1719532800000,2024-06-28 00:00:00,EOS/USD,0.59043,0.59936,0.58359,0.5882,32698.523583880862,55590.82554213
1719446400000,2024-06-27 00:00:00,EOS/USD,0.57637,0.59177,0.56689,0.5896,331503.4286807718,562251.40549656
1719360000000,2024-06-26 00:00:00,EOS/USD,0.57609,0.58117,0.56493,0.57592,74508.03681109443,129372.19893578
1719273600000,2024-06-25 00:00:00,EOS/USD,0.57074,0.5848,0.5674,0.57672,95074.51050148942,164853.84675664
1719187200000,2024-06-24 00:00:00,EOS/USD,0.56099,0.5715,0.52972,0.57135,405018.6868698493,708880.17304603
1719100800000,2024-06-23 00:00:00,EOS/USD,0.5736,0.5803,0.55715,0.56031,107795.7318138831,192385.87891325
1719014400000,2024-06-22 00:00:00,EOS/USD,0.56525,0.57995,0.56066,0.57503,70669.09568788951,122896.36312521
1718928000000,2024-06-21 00:00:00,EOS/USD,0.57361,0.58243,0.56279,0.56782,181208.93711645476,319130.95191514
1718841600000,2024-06-20 00:00:00,EOS/USD,0.56891,0.59471,0.56579,0.57304,119302.17868658698,208191.71207348
1718755200000,2024-06-19 00:00:00,EOS/USD,0.55651,0.57983,0.55249,0.57165,191505.14207270628,335004.18450574
1718668800000,2024-06-18 00:00:00,EOS/USD,0.61669,0.62,0.52591,0.5566,422099.4739585331,758353.34882956
1718582400000,2024-06-17 00:00:00,EOS/USD,0.65308,0.65758,0.6,0.61622,187564.36604462858,304378.90046514
1718496000000,2024-06-16 00:00:00,EOS/USD,0.66218,0.66557,0.65083,0.65396,54614.94121941622,83514.19233503
1718409600000,2024-06-15 00:00:00,EOS/USD,0.64912,0.66317,0.64651,0.66177,59328.874971238045,89651.80496432
1718323200000,2024-06-14 00:00:00,EOS/USD,0.67617,0.68388,0.63461,0.6485,211364.60815425616,325928.46284388
1718236800000,2024-06-13 00:00:00,EOS/USD,0.70199,0.70399,0.67092,0.67621,121215.80213264853,179257.63022234
1718150400000,2024-06-12 00:00:00,EOS/USD,0.68439,0.71526,0.67324,0.70159,144021.05892294188,205278.09535903
1718064000000,2024-06-11 00:00:00,EOS/USD,0.70624,0.70763,0.665,0.68292,182860.74849747558,267763.05935904
1717977600000,2024-06-10 00:00:00,EOS/USD,0.70937,0.71716,0.69856,0.70721,39571.71399636152,55954.68672157
1717891200000,2024-06-09 00:00:00,EOS/USD,0.70092,0.71339,0.69961,0.71031,56835.64433681516,80015.26704793
1717804800000,2024-06-08 00:00:00,EOS/USD,0.72658,0.732,0.693,0.70228,136483.0063931702,194342.72141193
1717718400000,2024-06-07 00:00:00,EOS/USD,0.78414,0.80051,0.665,0.72803,346219.5152459779,475556.6600909
1717632000000,2024-06-06 00:00:00,EOS/USD,0.8059,0.80753,0.77495,0.78481,444195.8552655754,565991.58428865
1717545600000,2024-06-05 00:00:00,EOS/USD,0.81328,0.816,0.80149,0.80739,90248.3634437694,111777.90589897
1717459200000,2024-06-04 00:00:00,EOS/USD,0.80138,0.813,0.788,0.813,81938.68950035819,100785.5959414
1717372800000,2024-06-03 00:00:00,EOS/USD,0.80027,0.82589,0.79381,0.80227,88666.4691462172,110519.48738731
1717286400000,2024-06-02 00:00:00,EOS/USD,0.8112,0.81688,0.7949,0.7997,51146.517735336,63957.13109333
1717200000000,2024-06-01 00:00:00,EOS/USD,0.81467,0.81569,0.80473,0.81,54428.4716771952,67195.64404592
1717113600000,2024-05-31 00:00:00,EOS/USD,0.81,0.82781,0.79545,0.81619,119001.20888297854,145800.8660765
