https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1720569600000,2024-07-10 00:00:00,ETC/USD,20.63,20.646,20.593,20.646,21.610764456480002,1.04672888
1720483200000,2024-07-09 00:00:00,ETC/USD,20.378,21.024,20.325,20.675,21674.938640896,1048.36462592
1720396800000,2024-07-08 00:00:00,ETC/USD,19.841,21.08,19.0,20.447,96963.64072883691,4742.19400053
1720310400000,2024-07-07 00:00:00,ETC/USD,21.196,21.225,19.702,19.702,40498.50743902468,2055.55311334
1720224000000,2024-07-06 00:00:00,ETC/USD,20.261,21.315,20.087,21.234,54248.54326906615,2554.79623571
1720137600000,2024-07-05 00:00:00,ETC/USD,20.852,20.852,18.222,20.306,264826.7718315562,13041.79906587
1720051200000,2024-07-04 00:00:00,ETC/USD,22.62,22.652,20.696,20.861,99314.90525212124,4760.79311884
1719964800000,2024-07-03 00:00:00,ETC/USD,23.292,23.333,22.333,22.573,9316.170864344811,412.71301397
1719878400000,2024-07-02 00:00:00,ETC/USD,23.187,23.437,22.984,23.306,11054.715087862882,474.32914648
1719792000000,2024-07-01 00:00:00,ETC/USD,23.714,24.062,23.177,23.205,41702.2547266143,1797.12366846
1719705600000,2024-06-30 00:00:00,ETC/USD,23.13,23.906,22.746,23.739,10478.774047499459,441.41598414
1719619200000,2024-06-29 00:00:00,ETC/USD,23.475,23.787,23.118,23.151,21406.38070813023,924.64173073
1719532800000,2024-06-28 00:00:00,ETC/USD,24.065,24.416,23.401,23.411,23666.1205086341,1010.8974631
1719446400000,2024-06-27 00:00:00,ETC/USD,23.616,24.382,23.174,24.096,26594.869544435518,1103.70474537
1719360000000,2024-06-26 00:00:00,ETC/USD,23.482,24.01,23.271,23.717,70197.92881428907,2959.81485071
1719273600000,2024-06-25 00:00:00,ETC/USD,22.997,23.766,22.942,23.505,80480.75059424475,3423.98428395
1719187200000,2024-06-24 00:00:00,ETC/USD,22.636,23.068,21.563,23.013,103975.60582195678,4518.12479129
1719100800000,2024-06-23 00:00:00,ETC/USD,23.361,23.534,22.569,22.673,8694.230767651099,383.4618607
1719014400000,2024-06-22 00:00:00,ETC/USD,23.562,23.68,23.349,23.436,3538.77317886456,150.99731946
1718928000000,2024-06-21 00:00:00,ETC/USD,24.111,24.124,23.256,23.571,25532.978383924292,1083.23695999
1718841600000,2024-06-20 00:00:00,ETC/USD,23.964,24.853,23.845,24.101,67026.39620866111,2781.06286912
1718755200000,2024-06-19 00:00:00,ETC/USD,23.016,24.197,22.982,24.006,43615.89916435872,1816.87491312
1718668800000,2024-06-18 00:00:00,ETC/USD,24.08,24.08,21.224,23.074,165223.57070494167,7160.59507259
1718582400000,2024-06-17 00:00:00,ETC/USD,25.48,25.55,23.511,24.111,64051.754559588364,2656.53662476
1718496000000,2024-06-16 00:00:00,ETC/USD,25.581,25.64,25.277,25.472,4518.58705889536,177.39427838
1718409600000,2024-06-15 00:00:00,ETC/USD,25.166,25.683,25.035,25.654,17170.36902271626,669.30572319
1718323200000,2024-06-14 00:00:00,ETC/USD,25.376,25.65,24.139,25.134,182392.01871700693,7256.78438438
1718236800000,2024-06-13 00:00:00,ETC/USD,26.093,26.136,25.126,25.326,44694.75493283598,1764.77749873
1718150400000,2024-06-12 00:00:00,ETC/USD,25.777,26.748,25.325,26.129,40439.7829659578,1547.6973082
1718064000000,2024-06-11 00:00:00,ETC/USD,26.599,26.599,25.066,25.69,72635.2050349912,2827.37271448
1717977600000,2024-06-10 00:00:00,ETC/USD,26.923,27.07,26.416,26.617,73278.2634658796,2753.0624588
1717891200000,2024-06-09 00:00:00,ETC/USD,26.82,27.077,26.752,26.983,12728.12878073462,471.70917914
1717804800000,2024-06-08 00:00:00,ETC/USD,27.052,27.201,26.425,26.876,283081.2560160173,10532.86411728
1717718400000,2024-06-07 00:00:00,ETC/USD,29.073,29.416,25.275,27.079,479768.31978544575,17717.35735387
1717632000000,2024-06-06 00:00:00,ETC/USD,29.769,29.809,28.74,29.112,54309.82993903728,1865.54788194
1717545600000,2024-06-05 00:00:00,ETC/USD,29.665,30.0,29.211,29.808,47825.6307822,1604.4562125
1717459200000,2024-06-04 00:00:00,ETC/USD,28.684,29.967,28.194,29.738,61880.387958677515,2080.85237604
1717372800000,2024-06-03 00:00:00,ETC/USD,28.929,29.443,28.597,28.638,62832.35773501866,2194.02045307
1717286400000,2024-06-02 00:00:00,ETC/USD,29.621,29.818,28.533,28.955,10938.13293509955,377.76318201
1717200000000,2024-06-01 00:00:00,ETC/USD,29.586,29.808,29.46,29.532,8428.353729251281,285.39732254
