https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XMR
1720569600000,2024-07-10 00:00:00,XMR/USD,155.42,155.42,154.36,154.76,4136.464633920399,26.72825429
1720483200000,2024-07-09 00:00:00,XMR/USD,154.75,155.71,152.2,155.49,166012.16643488492,1067.67101701
1720396800000,2024-07-08 00:00:00,XMR/USD,149.6,155.48,145.0,154.53,361523.3885702748,2339.50293516
1720310400000,2024-07-07 00:00:00,XMR/USD,158.28,160.0,149.31,149.31,102793.1632435323,688.45464633
1720224000000,2024-07-06 00:00:00,XMR/USD,155.38,159.04,153.56,158.61,187401.75495372392,1181.52547099
1720137600000,2024-07-05 00:00:00,XMR/USD,155.55,156.37,133.68,155.44,795308.4434759736,5116.49796369
1720051200000,2024-07-04 00:00:00,XMR/USD,165.89,166.13,155.0,155.75,366629.632508125,2353.9623275
1719964800000,2024-07-03 00:00:00,XMR/USD,169.12,171.11,165.14,165.5,232818.78242457498,1406.76001465
1719878400000,2024-07-02 00:00:00,XMR/USD,168.49,170.68,167.43,169.09,215719.9360044533,1275.76992137
1719792000000,2024-07-01 00:00:00,XMR/USD,168.65,173.73,167.45,168.15,349729.796323854,2079.86795316
1719705600000,2024-06-30 00:00:00,XMR/USD,165.99,169.95,165.52,168.37,69921.2078457562,415.28305426
1719619200000,2024-06-29 00:00:00,XMR/USD,168.59,168.59,165.46,165.46,109998.4856563214,664.80409559
1719532800000,2024-06-28 00:00:00,XMR/USD,166.33,169.19,166.21,168.29,140409.21901906058,834.32895014
1719446400000,2024-06-27 00:00:00,XMR/USD,164.98,167.63,164.07,166.32,110760.32200796639,665.94710202
1719360000000,2024-06-26 00:00:00,XMR/USD,162.41,166.2,161.62,164.68,90411.2689285152,549.01183464
1719273600000,2024-06-25 00:00:00,XMR/USD,159.25,164.74,158.75,162.19,129193.3591688831,796.55563949
1719187200000,2024-06-24 00:00:00,XMR/USD,164.44,167.41,155.87,159.31,773741.3689544932,4856.82862943
1719100800000,2024-06-23 00:00:00,XMR/USD,167.27,168.32,161.78,164.51,46635.48826211489,283.48117599
1719014400000,2024-06-22 00:00:00,XMR/USD,160.76,168.03,160.76,166.67,85423.10585294849,512.5283845499999
1718928000000,2024-06-21 00:00:00,XMR/USD,170.34,173.56,158.49,160.28,434388.6589282412,2710.18629229
1718841600000,2024-06-20 00:00:00,XMR/USD,168.68,172.73,167.23,170.09,235354.0967190816,1383.70331424
1718755200000,2024-06-19 00:00:00,XMR/USD,169.66,172.3,166.82,168.54,235929.2833122348,1399.84148162
1718668800000,2024-06-18 00:00:00,XMR/USD,173.9,174.61,166.89,170.14,700656.1453954914,4118.11534851
1718582400000,2024-06-17 00:00:00,XMR/USD,176.8,178.15,170.06,174.24,869076.34833096,4987.8119165
1718496000000,2024-06-16 00:00:00,XMR/USD,176.29,178.0,172.0,177.31,232234.1198556701,1309.76323871
1718409600000,2024-06-15 00:00:00,XMR/USD,170.15,178.22,168.66,177.48,319482.7474271508,1800.10563121
1718323200000,2024-06-14 00:00:00,XMR/USD,171.52,176.97,164.17,170.53,669544.6494308285,3926.25725345
1718236800000,2024-06-13 00:00:00,XMR/USD,180.47,181.52,171.45,171.83,1183619.3801206052,6888.3162435
1718150400000,2024-06-12 00:00:00,XMR/USD,174.82,182.7,174.15,180.97,623718.1759386536,3446.52802088
1718064000000,2024-06-11 00:00:00,XMR/USD,179.2,181.1,167.59,173.95,639542.978089617,3676.59084846
1717977600000,2024-06-10 00:00:00,XMR/USD,174.4,183.0,174.04,178.46,746069.2311062365,4180.59638634
1717891200000,2024-06-09 00:00:00,XMR/USD,168.77,175.22,166.63,174.18,825856.4137853202,4741.39633589
1717804800000,2024-06-08 00:00:00,XMR/USD,154.08,169.54,154.08,169.54,881877.7256838961,5201.59092653
1717718400000,2024-06-07 00:00:00,XMR/USD,164.63,174.48,153.65,154.02,437194.752962367,2838.55832335
1717632000000,2024-06-06 00:00:00,XMR/USD,163.11,166.3,162.19,164.77,510646.13059701107,3099.1450543
1717545600000,2024-06-05 00:00:00,XMR/USD,160.16,165.32,159.21,163.03,237640.7176457594,1457.65023398
1717459200000,2024-06-04 00:00:00,XMR/USD,155.18,160.12,154.73,160.12,151334.211805156,945.1299763
1717372800000,2024-06-03 00:00:00,XMR/USD,152.8,158.69,151.63,155.07,385052.5984119138,2483.08891734
1717286400000,2024-06-02 00:00:00,XMR/USD,149.25,152.79,149.16,152.67,126934.41477942749,831.42997825
1717200000000,2024-06-01 00:00:00,XMR/USD,148.44,151.35,147.12,148.91,205275.6569299316,1378.52163676
1717113600000,2024-05-31 00:00:00,XMR/USD,146.71,149.22,143.6,148.79,255350.7832672051,1716.18242669
1717027200000,2024-05-30 00:00:00,XMR/USD,140.07,146.93,140.07,146.04,622397.2323141803,4261.82711801
1716940800000,2024-05-29 00:00:00,XMR/USD,141.58,143.66,137.38,140.04,242979.7202113896,1735.07369474
1716854400000,2024-05-28 00:00:00,XMR/USD,141.44,145.0,140.9,141.7,415836.09326999995,2934.6231
1716768000000,2024-05-27 00:00:00,XMR/USD,141.77,144.26,140.7,141.58,222519.1985331536,1571.68525592
1716681600000,2024-05-26 00:00:00,XMR/USD,141.59,143.3,140.44,142.21,507338.47291897144,3567.53022234
1716595200000,2024-05-25 00:00:00,XMR/USD,141.17,142.4,140.07,141.34,134668.98015526822,952.80161423
1716508800000,2024-05-24 00:00:00,XMR/USD,139.06,143.9,138.41,141.2,185379.715850024,1312.88750602
1716422400000,2024-05-23 00:00:00,XMR/USD,138.83,141.79,137.03,138.85,204235.04572624,1470.9041824
1716336000000,2024-05-22 00:00:00,XMR/USD,136.17,139.68,135.41,138.63,469275.4947536964,3385.09337628
1716249600000,2024-05-21 00:00:00,XMR/USD,135.08,142.19,134.28,136.14,598858.7903459945,4398.84523539
1716163200000,2024-05-20 00:00:00,XMR/USD,134.56,136.78,134.02,135.04,247162.54068194557,1830.29132614
1716076800000,2024-05-19 00:00:00,XMR/USD,135.91,136.38,134.07,134.44,61628.8113633148,458.41127167
1715990400000,2024-05-18 00:00:00,XMR/USD,135.07,137.96,134.62,136.07,222022.55347057388,1631.67894077
1715904000000,2024-05-17 00:00:00,XMR/USD,134.18,135.58,132.63,134.93,122680.9628732367,909.21932019
1715817600000,2024-05-16 00:00:00,XMR/USD,134.81,135.37,130.21,134.04,310828.1674125972,2318.92097443
1715731200000,2024-05-15 00:00:00,XMR/USD,132.45,136.0,130.79,134.6,208447.356942032,1548.64306792
1715644800000,2024-05-14 00:00:00,XMR/USD,135.78,136.12,132.01,132.11,82446.7149939576,624.0762621599999
1715558400000,2024-05-13 00:00:00,XMR/USD,133.73,137.36,131.01,135.52,292274.7180182368,2156.69065834
1715472000000,2024-05-12 00:00:00,XMR/USD,132.1,134.89,132.1,133.54,79948.98819284739,598.68944281
1715385600000,2024-05-11 00:00:00,XMR/USD,132.79,133.43,129.26,131.77,113232.1870788959,859.31689367
1715299200000,2024-05-10 00:00:00,XMR/USD,132.59,134.11,130.8,132.56,165470.3067236288,1248.26725048
1715212800000,2024-05-09 00:00:00,XMR/USD,131.87,135.17,128.81,132.61,283144.79750735825,2135.16927462
1715126400000,2024-05-08 00:00:00,XMR/USD,127.89,131.99,127.14,131.99,218172.8088250327,1652.9495327299999
1715040000000,2024-05-07 00:00:00,XMR/USD,130.21,133.43,126.35,127.92,291635.9668040832,2279.83088496
1714953600000,2024-05-06 00:00:00,XMR/USD,134.51,134.81,129.23,130.56,319610.4460342272,2447.99667612
1714867200000,2024-05-05 00:00:00,XMR/USD,123.8,134.69,123.13,134.31,533096.6753026695,3969.15103345
1714780800000,2024-05-04 00:00:00,XMR/USD,125.97,129.59,122.5,123.23,265704.26037383324,2156.16538484
1714694400000,2024-05-03 00:00:00,XMR/USD,123.13,126.66,121.88,125.35,399939.7432873305,3190.58431023
1714608000000,2024-05-02 00:00:00,XMR/USD,123.87,126.04,120.27,123.1,325948.58073883,2647.8357493
1714521600000,2024-05-01 00:00:00,XMR/USD,120.05,123.87,116.32,123.74,200642.65889957699,1621.48584855
1714435200000,2024-04-30 00:00:00,XMR/USD,129.06,132.03,117.81,119.71,250911.9521080227,2095.99826337
1714348800000,2024-04-29 00:00:00,XMR/USD,126.52,129.83,122.0,129.09,705996.7653567622,5469.02754169
1714262400000,2024-04-28 00:00:00,XMR/USD,122.7,130.15,121.62,126.57,274695.28326000687,2170.30325717
1714176000000,2024-04-27 00:00:00,XMR/USD,120.35,123.31,118.05,123.17,365798.7448405084,2969.86883852
1714089600000,2024-04-26 00:00:00,XMR/USD,120.71,122.74,119.13,120.24,368832.8702153232,3067.47230718
1714003200000,2024-04-25 00:00:00,XMR/USD,119.59,121.77,117.0,120.0,485729.6593656,4047.74716138
1713916800000,2024-04-24 00:00:00,XMR/USD,121.69,122.64,118.54,119.14,368806.5278335074,3095.57266941
1713830400000,2024-04-23 00:00:00,XMR/USD,121.27,124.31,120.27,121.51,551556.9118824293,4539.18946492
1713744000000,2024-04-22 00:00:00,XMR/USD,118.95,124.01,118.95,121.13,370709.70397364174,3060.42849809
1713657600000,2024-04-21 00:00:00,XMR/USD,121.59,125.17,115.89,118.92,236253.246711858,1986.65696865
1713571200000,2024-04-20 00:00:00,XMR/USD,117.18,122.0,116.71,122.0,162974.79555024,1335.85897992
1713484800000,2024-04-19 00:00:00,XMR/USD,116.26,121.72,110.66,116.71,397240.5879207788,3403.65511028
1713398400000,2024-04-18 00:00:00,XMR/USD,117.32,119.52,112.93,116.34,425997.4532767044,3661.65938866
1713312000000,2024-04-17 00:00:00,XMR/USD,121.52,125.23,116.29,117.08,446895.4780226776,3817.00954922
1713225600000,2024-04-16 00:00:00,XMR/USD,122.99,123.81,114.5,122.16,578460.1812496224,4735.26670964
1713139200000,2024-04-15 00:00:00,XMR/USD,121.04,127.19,117.47,123.16,304465.55718193715,2472.11397517
1713052800000,2024-04-14 00:00:00,XMR/USD,115.06,124.27,113.32,121.64,1714298.7655560714,14093.21576419
1712966400000,2024-04-13 00:00:00,XMR/USD,122.25,128.95,104.55,115.35,596176.3977114015,5168.41263729
1712880000000,2024-04-12 00:00:00,XMR/USD,133.55,135.21,117.13,122.88,576349.6305672192,4690.34530084
